player_slug,player_name,segnale,punteggio_occasione,motivo_segnale,link_sorare,league_slug,tipo_carta,potenziale_score,squadra,prossimo_avversario,ultima_partita_score,l5,l10,l40,min_attuale_eur,media_transazioni_7gg_trimmed_eur,n_transazioni_usate,sconto_percent,trend_recente,media_transazioni_recente_eur,media_transazioni_storica_eur,prossima_partita_data,ore_alla_partita,finestra_acquisto_ideale,aggiornato_il,ultimo_tipo_evento
mauro-jaqueson-junior-ferreira-dos-santos,Mauro Júnior,evita (sovrapprezzo),0.0,"prezzo 3% SOPRA la sua media 7gg (sovrapprezzo, non e' un affare)",https://sorare.com/it/football/players/mauro-jaqueson-junior-ferreira-dos-santos,eredivisie,classic,0.178,PSV Eindhoven,Fortuna Sittard (casa),0.0,73.0,70.0,63.0,6.0,5.8,31/33,-3.45,flat,5.61,5.81,2026-08-08T18:00:00Z,216.4,05/08 06:00-06/08 06:00 UTC,2026-07-30T17:37:44+00:00,classic
andreas-kristoffer-jungdal,Andreas Jungdal,evita (sovrapprezzo),0.0,"prezzo 0% SOPRA la sua media 7gg (sovrapprezzo, non e' un affare)",https://sorare.com/it/football/players/andreas-kristoffer-jungdal,jupiler-pro-league,classic,0.1766,KVC Westerlo,Royal Union Saint-Gilloise (casa),0.0,61.0,53.0,53.0,2.8,2.8,13/15,-0.11,flat,2.85,2.77,2026-08-08T18:45:00Z,217.1,05/08 06:45-06/08 06:45 UTC,2026-07-30T17:39:23+00:00,classic
davy-roef,Davy Roef,evita (sovrapprezzo),0.0,"prezzo 2% SOPRA la sua media 7gg (sovrapprezzo, non e' un affare)",https://sorare.com/it/football/players/davy-roef,jupiler-pro-league,classic,0.1744,KAA Gent,LNZ Cherkasy FC (casa),60.0,52.0,53.0,51.0,3.47,3.4,37/39,-2.21,flat,3.45,3.39,2026-07-30T18:30:00Z,0.8,finestra gia' passata,2026-07-30T17:39:22+00:00,classic
anan-khalaili,Anan Khalaili,evita (sovrapprezzo),0.0,"prezzo 6% SOPRA la sua media 7gg (sovrapprezzo, non e' un affare)",https://sorare.com/it/football/players/anan-khalaili,jupiler-pro-league,classic,0.1656,Royal Union Saint-Gilloise,FK Bodø / Glimt (casa),0.0,60.0,63.0,56.0,2.99,2.81,20/22,-6.37,down,2.7,2.88,2026-08-04T18:00:00Z,120.3,01/08 06:00-02/08 06:00 UTC,2026-07-30T17:39:21+00:00,classic
bart-van-rooij,Bart van Rooij,evita (sovrapprezzo),0.0,"prezzo 3% SOPRA la sua media 7gg (sovrapprezzo, non e' un affare)",https://sorare.com/it/football/players/bart-van-rooij,eredivisie,classic,0.145,FC Twente,Ferencvárosi TC (trasferta),39.98,57.0,62.0,61.0,3.9,3.78,37/39,-3.26,up,3.95,3.74,2026-07-30T18:30:00Z,0.9,finestra gia' passata,2026-07-30T17:38:46+00:00,classic
matte-smets,Matte Smets,evita (sovrapprezzo),0.0,"prezzo 9% SOPRA la sua media 7gg (sovrapprezzo, non e' un affare)",https://sorare.com/it/football/players/matte-smets,jupiler-pro-league,classic,0.1416,KRC Genk,SV Zulte-Waregem (trasferta),0.0,62.0,60.0,59.0,3.95,3.63,18/20,-8.95,up,3.83,3.6,2026-08-09T14:00:00Z,236.3,06/08 02:00-07/08 02:00 UTC,2026-07-30T17:39:04+00:00,classic
yann-sommer,Yann Sommer,evita (sovrapprezzo),0.0,"prezzo 11% SOPRA la sua media 7gg (sovrapprezzo, non e' un affare)",https://sorare.com/it/football/players/yann-sommer,jupiler-pro-league,classic,0.1242,Club Brugge KV,KV Kortrijk (casa),0.0,56.0,46.0,52.0,18.4,16.58,32/34,-10.97,up,17.67,16.32,2026-08-07T18:45:00Z,193.1,04/08 06:45-05/08 06:45 UTC,2026-07-30T17:38:54+00:00,classic
ivan-perisic,Ivan Perišić,evita (sovrapprezzo),0.0,"prezzo 19% SOPRA la sua media 7gg (sovrapprezzo, non e' un affare)",https://sorare.com/it/football/players/ivan-perisic,eredivisie,classic,0.0599,PSV Eindhoven,Fortuna Sittard (casa),66.9,61.0,61.0,60.0,3.75,3.16,28/30,-18.64,up,3.94,3.07,2026-08-08T18:00:00Z,216.4,05/08 06:00-06/08 06:00 UTC,2026-07-30T17:38:17+00:00,classic
jari-de-busser,Jari De Busser,evita (sovrapprezzo),0.0,"prezzo 38% SOPRA la sua media 7gg (sovrapprezzo, non e' un affare)",https://sorare.com/it/football/players/jari-de-busser,eredivisie,classic,0.0475,AZ,HFC ADO Den Haag (casa),75.5,59.0,57.0,48.0,5.5,3.98,36/38,-38.22,up,5.07,3.71,2026-08-08T19:00:00Z,217.4,05/08 07:00-06/08 07:00 UTC,2026-07-30T17:35:35+00:00,classic
sondre-holmlund-orjasaeter,Sondre Ørjasæter,evita (sovrapprezzo),0.0,"prezzo 15% SOPRA la sua media 7gg (sovrapprezzo, non e' un affare)",https://sorare.com/it/football/players/sondre-holmlund-orjasaeter,eredivisie,classic,0.0453,FC Twente,Ferencvárosi TC (trasferta),79.9,60.0,56.0,53.0,4.49,3.9,25/27,-15.13,up,5.18,3.85,2026-07-30T18:30:00Z,0.9,finestra gia' passata,2026-07-30T17:38:19+00:00,classic
aaron-bouwman,Aaron Bouwman,evita (sovrapprezzo),0.0,"prezzo 22% SOPRA la sua media 7gg (sovrapprezzo, non e' un affare)",https://sorare.com/it/football/players/aaron-bouwman,eredivisie,classic,0.0288,AFC Ajax,FK Vojvodina Novi Sad (casa),65.94,55.0,47.0,49.0,5.25,4.32,16/18,-21.55,up,5.03,4.15,2026-07-30T18:00:00Z,0.4,finestra gia' passata,2026-07-30T17:35:54+00:00,classic
stav-lemkin,Stav Lemkin,evita (sovrapprezzo),0.0,"prezzo 77% SOPRA la sua media 7gg (sovrapprezzo, non e' un affare)",https://sorare.com/it/football/players/stav-lemkin,eredivisie,classic,0.0229,FC Twente,Ferencvárosi TC (trasferta),52.82,45.0,46.0,50.0,2.7,1.52,14/16,-77.46,,,1.52,2026-07-30T18:30:00Z,0.9,finestra gia' passata,2026-07-30T17:38:21+00:00,classic
ryan-flamingo,Ryan Flamingo,dato non aggiornato,0.0,"dato vecchio (mai aggiornata), prezzo non verificato in questa run",https://sorare.com/it/football/players/ryan-flamingo,eredivisie,classic,0.2919,PSV Eindhoven,Fortuna Sittard (casa),78.54,69.0,53.0,48.0,2.6,2.56,27/29,-1.69,flat,2.74,2.51,2026-08-08T18:00:00Z,226.2,05/08 06:00-06/08 06:00 UTC,,classic
sami-ouaissa,Sami Ouaissa,dato non aggiornato,0.0,"dato vecchio (mai aggiornata), prezzo non verificato in questa run",https://sorare.com/it/football/players/sami-ouaissa,eredivisie,classic,0.2678,N.E.C. Nijmegen,Olympiakos CFP (trasferta),62.3,57.0,63.0,53.0,2.5,2.47,16/18,-1.04,flat,2.33,2.48,2026-08-04T00:00:00Z,134.3,31/07 12:00-01/08 12:00 UTC,,classic
kjell-scherpen,Kjell Scherpen,dato non aggiornato,0.0,"dato vecchio (mai aggiornata), prezzo non verificato in questa run",https://sorare.com/it/football/players/kjell-scherpen,jupiler-pro-league,classic,0.2465,Royal Union Saint-Gilloise,FK Bodø / Glimt (casa),44.3,51.0,52.0,49.0,4.09,4.32,41/43,5.24,down,4.07,4.8,2026-08-04T00:00:00Z,147.5,31/07 12:00-01/08 12:00 UTC,,classic
nelson-ishiwatari,Nelson Ishiwatari,dato non aggiornato,0.0,"dato vecchio (mai aggiornata), prezzo non verificato in questa run",https://sorare.com/it/football/players/nelson-ishiwatari,jupiler-pro-league,in season,0.1659,Sint-Truidense VV,Lommel SK (casa),0.0,53.0,60.0,51.0,2.5,2.44,17/19,-2.51,flat,2.41,2.49,2026-08-08T18:45:00Z,249.1,05/08 06:45-06/08 06:45 UTC,,in_season
